Country,State,City,Name,Category - Final,Description,Website
Brazil, Minas Gerais,Belo Horizonte,AIMIRIM,Computer Vision,"CFD (Computational Fluid Dynamics) simulation software for general engineering and science, coupled with artificial inteligence .",https://www.aimirimsti.com.br/
Sweden,,Kalmar,AIMO,Healthcare,"AIMO, fka LifeSymb, combines 3D body scans with AI to give users automatic diagnosis and recommendations in form of exercises and tips.",http://www.aimo-health.com
Hungary,,Budapest,AImotive,Transportation,"AImotive, developer of artificial intelligence-based software for self-driving cars, uses hands-on experience in artificial intelligence, computer vision and navigation technologies, to provide solutions optimized for embedded platforms and GPUs. AImotive works with automotive and technology companies (OEMs, suppliers, platform providers) to change the architecture of cars and bring self-driving technologies to future vehicles.",http://www.aimotive.com
United States,Nevada,Las Vegas,Aimotive,Transportation,,https://aimotive.com/
India,,Bengaluru,Aindra Systems,Core AI,"AIndra Systems is using computer vision and deep learning to create a scalable, cloud-based solution for mobile facial recognition as well as tackling a wide array of problems in fields like enterprise healthcare and education. The platform also offers automated and affordable 'point-of-sample collection' screening tool for cervical cancer.",http://www.aindra.in
United States, California,San Jose,Aingel Corp.,Fintech,Aingel is an AI-driven analytics platform that matches startups with their ideal VCs and helps them fundraise faster,http://aingel.ai/
United States, California,San Francisco,Aipoly,Computer Vision,Vision AI to give real-time sight to smartphones.,http://aipoly.com/
Singapore, Asia,Singapore,AIQ Pte Ltd,Computer Vision,"AIQ offers O2O integrated solutions using our proprietary image recognition, video recognition and visual search technology.", https://www.aiq.tech/
United States, California,San Jose,Aiqudo,Communication,Artificial Intelligence-based tech to connect voice computing to the mobile app ecosystem. Voice-enables mobile apps & digital assistants,http://aiqudo.com/
United States,,Palo Alto,Airdog,Defense/Security,,https://www.airdog.com
United Kingdom,England,London,Aire,Text Analytics,"Aire uses a proprietary artificial intelligence process to allow banks to lend to new, qualified borrowers. During an online interview, the company's collects and validates applicant-provided data to evaluate profession, education, and financial knowledge. Lenders can then use this score to evaluate applicants and provide them with credit.",http://www.aire.io
South Korea,,Seoul,AIRI,Core AI,R&D for AI development,http://airi.kr/
Romania,,LaÃˆâ„¢i,AIris Vision,Computer Vision,"AIris Vision is an AI engine that can generate tags associated with a specific video or image. The technology can ""understand"" and process what is on a picture or video and it can then be delivered, for example on ads.",http://www.airisvision.com
United States,,,Airo Corp,Core AI,"Inspired by Iron Man and his AI digital assistant, Jarvis, we are building FiOS, the worlds first personalized operating system equipped with artificial intelligence that you can interact with via natural language (voice and gestures) that learns from your habits and behaviors, performs tasks for you, and helps you automate your home - all in an effort to simplify your life.   We are incorporating 4 major technologies:  1)Artificial Intelligence: FIOS will be your companion with the ability to perform tasks FOR you rather than being a mere utility to work on.  2)Natural Language Processing: Interact with FiOS the same way you interact with other people - through voice and gestures 3)Machine Learning: FiOS will learn from you with each interaction, which will help it grow and evolve over time - enhancing its own knowledge and unique personality.  4)Home Automation:FiOS will make your life easier by allowing you to automate your home and surroundings.",http://www.airocorp.com
United States,California,San Francisco,Airware,Computer Vision,"Airware, fka Unmanned Innovation, provides technologies that enable enterprises to plan, fly, and analyze aerial data to drive business outcomes including operational cost savings, enhanced worker safety, and improved decision making.",http://www.airware.com
Poland,,Poznan,Aisens,Healthcare,Aisens develops smart sensors for athletes that use artificial intelligence for telerehabilitation.,http://www.aisens.co
United States, Missouri,Saint Louis,AiSoftware.com,Software Development,Ai Software makes your company's intelligence accessible in the simplest possible way.,http://www.aisoftware.com/
Spain,,Elche,Aisoy,Robotics,,https://www.aisoy.com/
China,,Suzhou,AISpeech,Communication,"AISpeech, founded in 2007, is a speech recognition and analysis start-up.",http://www.aispeech.com
Japan,,Tokyo,Aissy,Agriculture,"AISSY Co., Ltd. provides taste analysis service using artificial intelligence.",https://aissy.co.jp/
Sweden,,,AiTellU,Business Intelligence,"Born out of Chalmers, the company applies Artificial Intelligence to Big Data and Business Intelligence for monitoring and predictability.",http://www.aitellu.se
France,,,Aiva Technologies,Entertainment,"Aiva Technologies offers AI solutions capable of composing emotional music. Aiva has learned the art of music composition by reading through a large collection of music partitions, written by the greatest composers in order to create a mathematical model representation of what music is.",http://www.aiva.ai
Finland,,Espoo,Aivan Innovations City,Text Analytics,"Aivan Innovations offers AI-based Contract Management, Spend Analysis, and other document analysis and NLP services.",https://aivan.ai/en/
Argentina, Cordoba, Cordoba,Aivo,Communication,"AgentBot is an automatic customer service solution through digital channels. The virtual agent recognizes, interprets and answers customer’s inquiries, creating an interactive dialogue between the company and the users, without waiting time, 24/7 and with a lower cost than human attention.",http://www.aivo.co
